pain,drug
10.61,B
7.36,A
10.31,C
6.2,A
8.77,A
10.16,A
12.27,C
7.47,A
7.47,B
10.41,A
11.2,B
4.43,A
5.59,A
11.42,C
10.49,B
7.63,A
14.38,C
8.32,C
5.74,A
10.98,A
12.06,C
11.41,B
6.88,A
7.18,C
6.16,A
12.89,C
12.57,C
12.32,C
16.26,B
11.16,C
10.36,C
5.29,A
12.49,B
4.17,A
9.13,A
10.48,C
7.8,B
9.5,C
5.01,A
9.51,A
8.1,C
10.93,A
8.34,A
3.85,A
7.91,A
7.84,A
9.67,A
8.47,A
7.59,B
8.08,A
7.68,A
8.72,A
1.63,A
0.5,B
0.81,A
4.61,A
6.11,A
7.3,A
13.69,B
7.22,C
7.59,A
13.43,C
10.36,A
11.96,B
10.64,A
5.03,A
12.6,B
9.89,A
12.84,C
4.66,A
11.82,C
6.86,A
11.47,A
5.73,C
14.12,B
12.49,B
8.87,A
5.62,A
10.06,B
7.18,A
7.11,A
8.05,A
5.11,B
4.49,A
6.21,A
10.23,A
3.63,A
7.85,A
4.7,A
9.59,B
10.02,B
4.49,A
10.72,A
9.85,B
6.73,A
7.91,A
6.74,A
11.45,B
7.84,A
9.35,B
10.03,B
7.91,C
8.84,A
7.03,A
3.73,A
6.34,A
8.22,B
10.18,A
5.37,A
14.87,B
7.03,A
12.4,C
12.6,B
8.89,A
7.14,A
8.41,A
8.92,C
5.97,B
8.48,A
8.45,A
3.26,B
12.37,B
9.65,B
11.34,A
4.34,A
4.78,A
5.1,A
6.34,C
5.3,A
4.57,A
6.91,A
7.8,C
16.99,B
6.86,A
4.77,A
8.9,A
5.33,A
5.84,C
11.91,B
14.79,C
16.46,B
5.28,B
5.25,C
9.51,A
8.26,A
4.95,B
12.9,C
10.93,A
7.54,B
10.33,A
7.39,B
8.72,A
5.83,A
10.64,B
8.88,A
5.61,A
6.8,A
8.91,A
8.21,A
7.34,A
6.32,B
9.86,A
9.11,C
4.31,A
11.76,B
4.45,A
10.88,A
13.74,C
6.26,A
5.93,A
9.68,B
11.22,B
10.17,C
6.43,C
9.11,A
8.29,A
8.95,A
7.25,C
2.92,A
6.92,A
8.6,A
8.93,A
8.44,C
6.39,A
9.12,C
11.42,C
9.56,A
14.15,B
6.46,B
7.77,B
8.81,C
18.2,C
4.88,C
12.46,C
10.34,B
1.61,A
7.63,A
12.28,C
6.17,A
7.11,A
8.32,A
11.51,A
8.51,A
11.05,C
11.35,C
8.33,A
14.49,B
8.04,A
12.37,C
6.79,B
9.18,C
9.16,A
10.48,B
6.36,A
12.46,B
14.47,C
11.13,C
7.46,A
10.39,C
9.06,A
3.26,A
8.93,C
5.94,A
3.32,A
5.73,A
8.32,B
9.84,A
9.47,A
8.6,A
6.74,A
8.53,A
3.73,A
6.37,A
8.93,B
10.31,A
2.09,B
5.42,A
5.67,A
16.33,C
11.19,C
10.01,C
6.1,A
6.49,A
4.21,A
4.68,B
7.01,A
13.72,B
9.85,A
4.82,A
9.13,C
2.71,A
7.6,A
2.98,A
6.64,A
9.73,B
8.33,B
12.79,C
6.42,A
8.35,A
9.09,B
10.12,C
7.35,A
7.55,A
8.3,B
4.78,A
8.27,A
7.36,A
7.8,A
6.14,A
9.69,A
13.4,C
8.2,B
10.52,B
12.47,C
4.59,A
6.69,A
7.3,A
13.76,C
13.47,C
12.71,C
6.36,B
6.55,C
7.9,A
11.62,B
6.2,B
6.24,C
7.39,B
8.25,A
13.19,C
5.64,A
6.23,C
7.66,C
10.69,C
5.82,C
8.7,A
7.51,B
9.12,B
4.78,A
9.61,C
5.46,A
8.49,C
10.16,C
7.95,A
11.03,A
10.41,B
8.14,C
10.05,B
8.43,A
12.0,A
11.11,C
7.63,B
12.2,C
14.04,C
8.01,A
12.2,C
5.85,A
9.57,A
6.4,A
8.96,C
14.03,C
11.49,C
5.09,A
7.48,A
5.71,A
12.57,A
5.31,A
6.38,A
4.23,A
11.9,A
12.93,C
