Sales_Volume,Marketing_Spend,Price_Index,Customer_Income,Competitor_Price,Product_Quality_Score,Social_Media_Mentions,Economic_Indicator,Advertising_Frequency,Seasonal_Index,Store_Traffic
940.9048,1.5759,0.8919,-0.7268,-0.0478,-0.657,1.1052,-3.367,-8.5445,-4.6172,-2.8806
1095.699,0.5355,1.2667,-1.7799,1.209,-0.1132,0.6339,-1.3488,-4.8572,0.5853,-3.2546
892.1168,-0.6863,0.1571,0.1458,-1.4327,-0.6668,-0.2312,-3.4972,-1.8701,-0.3143,-9.5857
1049.2337,0.9253,0.3959,0.6764,0.1687,1.5741,0.7337,-1.5198,9.0925,3.2589,-2.4878
1144.7554,-0.5589,1.0736,1.5655,0.3772,0.133,0.0192,-9.1983,2.0826,-8.3575,4.8592
973.2927,0.6603,0.3248,-0.395,0.7475,-1.0072,0.4042,0.8025,-6.5092,3.4454,-8.5325
910.3776,1.5505,-1.3445,0.9843,-0.9984,-1.0041,0.5298,0.5919,1.6624,-13.2877,5.2077
1221.3202,-0.8808,-0.6076,-0.7352,1.7987,0.9578,-0.5459,-4.7086,-7.5289,-4.2449,2.7466
1051.5436,1.4069,-0.9929,0.9553,-0.4841,0.6663,0.3587,3.7375,5.9914,-2.57,-3.0938
946.7469,-0.3705,1.8093,0.0156,-1.4056,-0.8476,0.4118,5.0591,-3.0077,2.3819,-1.7973
1067.5836,-0.7727,0.1852,0.9004,0.8302,0.2223,-0.3771,-7.975,0.8107,-0.5638,7.0393
1018.0942,-0.0929,0.5153,1.1168,-0.2395,2.1841,0.0615,-3.4986,7.1995,-7.6392,3.0871
990.2951,0.6905,-0.9588,0.6578,0.2656,-1.5836,0.0818,-3.5863,-6.0228,-4.5456,-0.1701
1104.3548,1.0484,1.0725,1.7446,-0.0811,1.4343,0.6546,-4.3952,-6.7008,1.4542,-3.1517
1026.1511,0.1576,-0.7664,-0.0241,0.195,-0.6368,-0.3236,4.2577,-2.177,-0.2449,0.0949
765.6933,-0.3828,-0.9939,-0.3977,-0.1237,-0.8565,-0.5458,-0.9918,5.2896,-4.6887,-3.8233
1157.1328,-0.7342,0.6515,0.4573,0.082,-0.2015,-0.2729,-1.3209,-7.6033,-1.7358,-9.925
1163.4343,-0.9734,1.0684,0.3361,1.0071,2.3036,-0.1348,-10.3026,-15.6402,4.6273,11.4701
977.2769,0.1239,0.4847,1.2036,0.615,2.5304,0.1166,3.2013,-2.4837,-3.3854,0.5458
1057.8591,1.4841,1.8043,-0.3131,0.3556,0.7198,1.1421,-6.3232,1.4654,0.032,1.0343
1025.3768,0.6069,1.1234,1.3048,-1.8419,0.1929,0.7871,1.1655,7.5197,12.1546,0.1307
883.7742,-0.8604,0.6386,1.0063,-0.3846,-0.0661,-0.2612,1.6461,-3.5268,-7.071,-4.3274
959.0237,1.2669,-1.2609,0.4438,-0.7077,2.1222,0.2619,7.1019,-1.0247,-9.7434,-2.449
964.0571,-0.0568,-1.5072,-0.5643,-0.8904,0.4288,-0.623,-6.1756,6.54,4.8737,-5.8035
1158.9886,1.3843,-2.4994,0.5948,0.5639,-1.3896,-0.1121,-14.975,-10.9941,-0.9535,12.408
1149.6676,-0.9885,-0.3663,0.4764,2.2409,0.0224,-0.5931,0.3859,-2.9293,-1.64,-5.5457
856.1855,1.5302,-0.3022,-0.9246,0.6649,-0.3613,0.5593,8.622,0.8879,-4.421,-6.1704
901.97,-1.182,-0.2728,-0.6983,0.996,-1.0984,-0.6353,5.7683,1.627,-2.3033,-3.7078
947.0688,-1.51,-0.2724,-0.1937,-0.2205,-0.8051,-0.8968,1.1371,-2.3606,7.7324,5.7837
978.5419,-1.0212,-0.5552,0.2438,0.7084,-1.448,-0.7063,-2.7242,-2.0266,3.5086,0.5126
903.5508,-0.5036,0.273,-0.7661,-0.1506,-0.092,-0.2301,3.9018,-12.4256,5.2847,-5.3861
844.8303,-0.2286,-0.5441,-2.5623,-0.9943,0.0409,-0.0923,-5.2488,-4.2934,-7.5943,7.0125
1090.4524,-0.8324,-0.6231,-0.5522,0.4714,-0.6374,-0.6045,2.1698,3.4566,-6.3265,5.0755
888.1281,0.9331,-1.4194,0.7033,0.0635,0.1982,-0.0651,2.7137,-4.5862,-14.4971,2.8407
1019.4015,0.332,1.1071,0.7095,0.1905,-2.1727,0.5804,5.3375,1.1423,-4.1374,3.0433
1104.8505,0.0756,-0.9728,-0.0292,1.0489,-0.1726,-0.3761,13.6352,2.873,3.3326,11.9082
830.358,0.3835,0.7819,1.3298,-0.9911,-0.0135,0.4472,2.4028,-2.8195,1.8213,10.6258
946.6821,1.8005,0.0599,0.2097,1.2389,1.3607,0.7223,-3.021,-0.4565,-0.9237,-6.4531
1127.2965,-0.4973,0.8811,0.1633,0.2941,0.6191,-0.1172,-0.161,-5.1892,1.1578,7.4633
985.9417,-0.0588,0.599,0.1911,-0.2209,-0.4942,0.17,-8.6362,-0.7492,-2.2788,2.8783
1037.6903,-0.0024,0.1961,-1.0922,-0.5893,-1.549,0.1315,-3.3468,3.3091,1.499,3.5994
1117.8778,-0.5717,0.5334,0.9331,0.3326,1.2182,-0.1087,-2.0055,1.8422,3.5143,-7.5892
787.5773,-1.6275,-1.6694,0.2597,0.0481,-0.6626,-1.3262,-2.4751,-2.3621,-9.8843,-1.6152
1164.0594,-0.2026,0.7654,0.3052,0.98,0.4987,0.0982,0.525,-0.8214,0.3425,-4.2195
1186.0088,1.3887,1.2828,0.3814,0.1424,-1.3078,0.9313,-4.0958,3.2279,2.8264,4.1844
741.6263,-1.4308,1.083,-0.2988,-0.4766,-0.6738,-0.4625,5.7767,-9.2922,-2.225,2.6428
1178.0154,-0.2775,-0.6136,0.4218,1.2913,0.5458,-0.3689,-0.2368,3.6238,3.6616,-10.3805
1079.7005,-0.8469,-1.0501,0.7793,1.2496,1.3705,-0.6328,-0.4232,-0.9861,13.0854,0.1736
1068.7104,-1.7092,-0.0951,-0.0892,0.3917,-0.216,-0.8488,-1.6272,2.4614,-0.5878,5.4381
1192.9989,0.2537,-1.2295,1.0858,0.4677,-0.4653,-0.4183,0.9908,5.8803,0.4636,1.7109
1298.0856,0.515,0.3578,0.515,0.5138,1.0831,0.3973,4.0118,-5.8046,-4.6281,2.2676
745.6762,-2.2236,0.2431,-0.301,-0.5181,0.6123,-1.0774,-4.2008,-4.5258,-0.892,0.3742
1116.4094,0.6277,-0.63,0.2638,1.6646,-1.4465,0.0571,-3.6878,-1.9078,2.2762,2.7928
