Approved,Credit_Score,Annual_Income,Debt_To_Income_Ratio,Loan_Amount,Employment_Status,Housing_Status,Loan_Purpose
0,587,25400,26.5,18700,Part-time,Rent,Auto
1,756,135300,52.8,35000,Full-time,Mortgage,Auto
0,677,55200,35.9,12500,Full-time,Rent,Debt consolidation
0,660,61400,16.2,18400,Self-employed,Mortgage,Debt consolidation
0,636,18000,31.7,8500,Part-time,Rent,Debt consolidation
0,716,140300,21.1,54900,Full-time,Own,Debt consolidation
1,677,75300,42.9,27900,Self-employed,Mortgage,Debt consolidation
0,638,34400,43.6,12600,Full-time,Mortgage,Home improvement
1,730,91000,38.5,18700,Full-time,Mortgage,Home improvement
1,682,51700,10.9,17400,Full-time,Own,Medical
0,635,70300,44,16900,Self-employed,Rent,Debt consolidation
0,668,40400,40.1,15500,Part-time,Mortgage,Auto
0,651,48400,29.9,13000,Full-time,Rent,Debt consolidation
0,682,46400,24.3,24900,Full-time,Rent,Debt consolidation
0,672,65600,18,34800,Self-employed,Rent,Home improvement
1,675,117000,23.1,15000,Full-time,Rent,Home improvement
1,763,170900,17.5,40100,Self-employed,Mortgage,Debt consolidation
0,717,59500,20.6,18600,Part-time,Rent,Home improvement
0,655,71600,47.1,15200,Full-time,Rent,Home improvement
0,582,36000,32.2,15100,Full-time,Rent,Auto
1,786,95500,44.1,52800,Self-employed,Rent,Medical
1,697,63100,24.8,18300,Self-employed,Own,Debt consolidation
0,636,71900,45.1,24600,Full-time,Own,Medical
0,616,70500,54.7,14500,Full-time,Own,Home improvement
0,723,43000,16.2,39800,Retired,Rent,Debt consolidation
1,763,75400,42.9,20900,Full-time,Own,Debt consolidation
0,619,49100,38.2,12400,Full-time,Rent,Home improvement
0,621,52100,43.9,31100,Full-time,Rent,Home improvement
1,600,46700,20.9,10600,Full-time,Own,Debt consolidation
1,719,77700,12.5,13000,Self-employed,Rent,Debt consolidation
0,646,54600,21.1,25200,Part-time,Rent,Debt consolidation
0,663,18000,16.2,9500,Part-time,Rent,Debt consolidation
0,647,96200,31.2,45700,Full-time,Mortgage,Debt consolidation
1,703,74500,33.7,11200,Self-employed,Own,Home improvement
0,653,57400,23.4,16600,Self-employed,Rent,Medical
0,671,90500,30.2,35100,Part-time,Mortgage,Medical
0,634,73800,36.2,19700,Full-time,Mortgage,Home improvement
