S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
68.40075339,69.00411634,127.2132133,141.2779767,123.4722097,166.4260111,71.10081006,114.8536317,104.7341225,66.20725453,140.7990961,104.8132421
142.5304741,124.611853,143.698183,72.54293629,139.2218582,32.30647396,156.4734239,173.1330621,123.6722393,116.0365513,14.85232684,145.4172719
126.6498756,123.4838444,112.8123023,100.3533636,44.99667033,120.0885748,144.9218511,79.25728686,120.8614855,129.938248,96.10062918,121.2385344
156.5335112,92.90666917,127.3928998,99.95885556,131.1099634,86.11363199,144.4190148,118.0895405,77.79828714,120.4964523,68.75912905,86.96038193
145.4010152,138.7213172,81.55958129,174.3643156,42.66079617,140.4972698,108.3018563,48.54109351,133.2392056,136.8133217,136.8544334,113.3749697
104.8839922,97.10641083,116.1061277,145.5198508,64.20472855,123.6242366,109.5755115,64.48316978,148.7820947,82.86486365,101.7847223,131.8909599
165.5474531,161.1692652,137.8066858,83.84994902,135.4889569,61.36619951,98.82207604,153.3245124,153.969513,148.1525767,40.39029961,131.8689005
172.7716656,107.9978998,71.48056108,131.531621,31.4234835,128.7774527,138.525946,47.99433457,115.2209499,169.9044566,109.7274382,94.30083924
185.0328509,92.46762882,124.5289899,91.36295619,146.2914437,90.33694259,187.554484,128.6228988,59.98117231,206.7592266,87.32566765,73.28402701
190.3885787,87.00126261,160.3462856,91.11476681,127.2011862,65.57993806,162.6746425,107.6337736,81.50483418,152.4566674,55.47676226,119.9325113
93.8176184,115.0391693,131.8713845,140.1239699,97.82309552,89.53246334,104.0356645,130.0429421,84.09056096,92.17242887,78.3201488,91.54360896
187.7817833,76.96259136,133.6559769,131.6402466,103.9462723,156.3410594,169.7635447,82.92957521,74.75440123,133.1552755,117.2768456,45.66932396
212.1665054,171.9145674,99.93348313,70.29224772,65.36283866,88.17532288,126.1191142,73.28205777,168.673319,179.8714971,60.39134072,119.7680945
120.2689772,145.8636566,89.78512396,157.5281902,39.90665207,104.1063606,127.0736056,69.52722945,181.2654048,96.93090432,128.9141699,144.3699013
161.5059349,135.7142022,63.8900155,133.8993384,45.21739694,96.90142312,108.3546759,55.40686393,135.9698913,161.0011817,88.920109,169.5927353
125.1476447,111.7264486,102.6355605,88.9300459,102.2632144,119.1308285,138.4456682,92.64223484,98.05270963,178.6002821,83.34722579,92.06335553
186.0066799,153.8969395,124.9039184,58.36322163,99.92694086,73.60949714,134.5481251,106.76277,111.9962766,155.5069387,53.42474295,134.6515395
108.8907536,94.49870767,94.57138639,109.7595577,79.78935605,109.6661609,85.05678636,104.7987186,88.84321654,91.59985074,120.4838087,95.18027771
142.7672037,124.2770113,150.130509,119.0487651,111.2600443,87.8617121,133.4998919,115.7703861,88.40738897,120.5793721,74.10155942,97.08987365
110.5918624,92.10765163,119.3135781,164.0107153,64.65401445,154.8501823,112.5460162,102.0389721,82.16906899,111.6279007,114.8902474,97.60688065
104.4386539,126.5860524,119.2283749,126.456697,77.01848865,123.1573256,82.30830433,101.2131142,131.0281706,120.1866905,78.38899283,109.3919362
151.7946758,90.50127058,103.8376884,114.4006386,71.98404054,98.99584959,135.3915928,100.6211669,71.43604938,126.7270145,143.0373678,56.01231177
134.4576576,147.2383163,140.8766891,83.31190375,86.30767875,65.8499645,140.5240064,131.1623116,160.4833479,115.0375292,35.59510514,128.5590652
175.8728268,126.580136,135.2878466,61.56566662,105.5325342,78.53914707,158.3915549,103.7268343,127.7335886,158.7866608,62.47606754,150.0431077
146.7732874,108.1556958,105.8470892,104.0321063,126.4346317,55.48847221,99.03650847,89.16441295,136.5759516,144.1027677,44.76741608,154.2142132
92.68033346,148.7373415,130.0605992,131.8057882,77.64552004,108.6388433,111.4679322,109.916987,145.638766,135.5342001,88.14103206,112.8480254
142.0412982,50.98655727,169.0598294,155.0956356,101.1493036,162.3531717,90.83100569,136.7643902,58.37304679,111.429798,154.1025024,51.34178055
181.8873468,119.5912184,85.39277539,151.3646014,60.89688683,156.2086436,145.3968758,70.44406712,94.86594299,113.164334,139.8651951,105.9361078
57.65254695,134.4654619,197.9749273,138.3001831,94.34755832,133.9836006,64.28172494,115.8260402,114.3922913,64.2635107,94.31796499,115.081717
109.7874744,55.48397046,152.5411671,136.1098317,170.0985875,95.88559555,171.4511927,170.2785982,63.38611903,148.3746286,81.17298531,73.54278812
163.9416523,78.40488468,117.9413177,95.84623451,92.8191493,129.5933233,127.5201473,102.2081914,100.3794782,148.4455273,116.4683882,82.40013524
169.3651732,122.1443444,89.43323755,65.33843711,103.8744426,82.35837141,170.3216944,96.78459137,97.2745629,165.4528699,50.73938545,90.562667
188.5362559,107.7015395,116.8998019,103.8964757,114.2690202,128.8061478,178.7659476,100.8314279,90.7626025,145.2666689,106.2660578,71.67874958
105.8570165,87.94335156,105.9559926,127.3525237,94.43616787,101.8710008,98.98317013,96.6871033,118.6804614,106.3732318,94.52915008,87.90175802
149.3222104,83.00198551,197.399575,88.55115745,160.3779312,65.27707098,165.1225363,157.2019429,107.7265122,173.0690289,38.90371979,102.6261901
168.3854959,162.3175714,75.85594252,101.1256023,88.43338221,114.2495382,137.2958966,70.56339964,140.1105655,215.6169087,101.7691529,120.6925335
96.34586193,90.60164062,190.1090952,101.1248763,95.87121241,82.95622277,75.42388754,171.4135941,86.55136318,81.56882145,96.35741009,101.8136575
63.21983336,171.0257754,134.6210684,171.7286367,72.92421499,130.0243185,58.69197186,91.20915176,141.0420608,70.8161648,78.87304585,132.3813992
78.73897263,129.3080367,189.8029203,143.5673532,87.06932506,79.76538893,86.49337838,142.7698386,130.8503887,62.98796419,108.0415234,132.3520176
152.4018007,125.7396629,157.5656098,92.83717981,109.1994796,53.97620725,129.9705671,118.5732733,76.23511724,159.3592155,47.49394347,122.3446024
172.6197439,110.3690593,64.41572606,118.1750296,45.8238287,119.7504249,137.1107191,49.15124168,148.6701556,165.8589034,97.65277104,120.6744315
107.759311,107.7840836,116.0102432,149.2540924,114.1590323,124.5721004,101.4610375,111.6787447,96.00725858,109.592827,114.0535983,79.0642573
152.8201881,139.0952514,185.7663623,80.3086492,148.6111045,50.43198614,103.5284498,150.4187246,95.87837685,142.8426492,50.81080827,108.6403805
155.4248306,89.90889543,178.1865204,91.88294662,155.3210311,57.30239451,142.9712163,139.2170346,104.8379884,115.7658539,41.67592699,136.0877817
111.4041499,139.5686334,92.42308236,143.4892345,61.82249304,137.4166394,70.98352661,114.9898835,111.858146,71.08760322,78.82065541,156.1476817
171.5658932,100.13626,87.20288276,91.15013643,80.82914204,101.9140868,134.0813414,59.25535524,146.692536,194.1040814,75.08789889,130.3301508
206.2841983,82.67873354,145.9737927,125.8606806,151.4446105,103.8670281,136.2367293,157.2201949,78.71518618,176.1401085,96.5503467,96.56449348
168.2550671,108.7787115,182.5652826,51.4386026,150.3592818,30.55750166,158.2248311,114.8180388,125.5295123,182.6883706,20.55721818,179.8088225
85.65037291,113.3190672,115.4362791,125.1917786,62.8778307,140.619463,113.2303746,84.73973312,154.787918,123.814101,99.152155,124.6674174
140.2000314,68.70061939,101.2059677,142.2007787,102.1129838,186.8054896,89.41684849,90.98951674,71.98139352,131.6558422,108.5068555,72.21910208
194.542204,111.2696387,118.8501443,129.5265372,116.3329933,89.79401699,147.9920545,119.9688764,81.89728592,150.0230247,104.6321275,80.59624708
