Words,Process
8,Counting
6,Counting
4,Counting
6,Counting
7,Counting
6,Counting
5,Counting
7,Counting
9,Counting
7,Counting
10,Rhyming
7,Rhyming
8,Rhyming
10,Rhyming
4,Rhyming
7,Rhyming
10,Rhyming
6,Rhyming
7,Rhyming
7,Rhyming
14,Adjective
11,Adjective
18,Adjective
14,Adjective
13,Adjective
22,Adjective
17,Adjective
16,Adjective
12,Adjective
11,Adjective
20,Imagery
16,Imagery
16,Imagery
15,Imagery
18,Imagery
16,Imagery
20,Imagery
22,Imagery
14,Imagery
19,Imagery
21,Intentional
19,Intentional
17,Intentional
15,Intentional
22,Intentional
16,Intentional
22,Intentional
22,Intentional
18,Intentional
21,Intentional
9,Counting
8,Counting
6,Counting
8,Counting
10,Counting
4,Counting
6,Counting
5,Counting
7,Counting
7,Counting
7,Rhyming
9,Rhyming
6,Rhyming
6,Rhyming
6,Rhyming
11,Rhyming
6,Rhyming
3,Rhyming
8,Rhyming
7,Rhyming
11,Adjective
13,Adjective
8,Adjective
6,Adjective
14,Adjective
11,Adjective
13,Adjective
13,Adjective
10,Adjective
11,Adjective
12,Imagery
11,Imagery
16,Imagery
11,Imagery
9,Imagery
23,Imagery
12,Imagery
10,Imagery
19,Imagery
11,Imagery
10,Intentional
19,Intentional
14,Intentional
5,Intentional
10,Intentional
11,Intentional
14,Intentional
15,Intentional
11,Intentional
11,Intentional
