m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,reachable
12.16168985,32.22893127,24.51199456,11.70254051,58.5251305,10.6569766,63.39309848,96.86141201,62.66206174,44.0074611,19.24381876,23.87201714,31.31781896,76.04017908,53.94473051,36.22744198,40.92066841,53.10631338,35.9754631,59.61819749,1
33.4244653,44.87171133,39.66620294,48.84852449,75.07492379,38.81787981,58.56627106,132.2284296,106.176104,93.52253365,30.160684,31.38781418,2.485318342,89.6124454,79.49409143,59.76802997,81.723824,99.20236502,27.68760106,59.65320929,0
39.37595547,41.09822085,55.15196457,34.75971115,58.63231531,35.61791599,94.55443843,41.15997755,27.33588719,47.32215213,47.67158106,53.29019573,91.92243835,25.69075764,43.91158146,26.16645508,16.34204976,29.60412341,77.76869764,88.70844094,1
43.99456721,33.7196483,42.34319987,37.96263726,52.78955241,38.01387926,46.75430687,92.00469736,81.87647728,64.79639743,17.96870318,17.29988438,28.79455329,100.7255152,54.58475254,65.84344882,58.71022979,96.37789597,13.57664258,39.73480429,0
60.22037874,28.62938451,76.90271677,73.01317932,4.393421539,72.17050514,43.31142666,38.40068702,82.39399579,19.0142669,66.84750009,55.0374236,74.94641397,39.54230544,20.04736106,32.17552702,33.17811117,67.4387279,42.69476447,45.09204869,1
31.18795385,43.6293854,32.34765827,20.84464966,39.76033326,31.35370709,84.01231461,72.09184624,25.13670859,43.2109332,55.35949583,57.62920469,75.39881718,44.74795871,31.14316306,25.03825464,6.175181996,33.30366202,68.20120965,70.08883709,1
77.83673882,34.49312728,78.27362001,70.72383064,22.2989443,87.3233656,65.76147849,21.82801297,96.46366951,34.14851892,82.4236591,85.88912848,88.08759344,44.68913312,27.21166161,46.53087668,45.16232753,88.87980333,69.58793716,63.83707846,0
70.12864987,34.09425803,110.9102633,61.38427691,24.92148767,65.81922053,28.17155992,54.69398485,80.32963062,25.36386526,49.46915014,58.5803347,65.05627831,67.15237399,36.91316742,41.98729072,78.0009675,118.5478366,36.81253978,20.21458968,0
76.27434117,61.79595058,90.59014102,69.21297307,64.90621842,71.97381719,17.58494545,76.75593432,129.6341915,40.43372715,47.9714805,52.64437254,85.56059648,106.4815614,54.33956061,63.66614024,97.28009272,150.9631604,47.59058086,28.49738681,0
57.15972397,18.39130937,58.28670292,42.22743943,33.15331513,50.21114505,31.89976343,68.98209282,79.30173112,22.7339483,17.53210165,15.79237801,55.12149573,68.5318507,35.62986334,33.62803532,60.36198881,65.99749059,16.48151831,20.48592891,1
62.24825256,52.7979723,79.16915042,63.59114018,58.16855375,57.09284922,116.5593995,29.47504523,35.27490662,52.78575343,69.62983631,74.85281037,99.10929833,8.552355836,32.29797571,43.74768694,30.49368097,36.5729615,92.36900134,101.604536,1
127.0173907,81.91461289,117.6995429,103.9866803,42.89492454,108.4666872,101.6132562,15.25704876,70.20281043,62.27771542,75.46098408,77.96406823,140.4535171,34.91273758,65.72273031,46.09858265,76.26506616,77.33229393,88.63072584,80.02310711,0
53.2226954,52.74638035,50.29833838,39.63324351,71.69935834,51.26346849,44.17476442,103.0944696,96.06875963,57.12193226,16.88291132,17.63999278,26.42502571,111.9657574,48.22802019,58.83159313,55.51534866,93.69481964,13.67678994,41.19309084,0
38.22615445,18.73702977,32.70428643,31.84703359,27.91243913,28.74346868,64.49636074,58.45378041,53.1687101,29.5564689,29.06984813,40.0918027,65.94723436,35.24230177,15.03628959,11.15895442,22.71143209,51.33190422,39.34322839,42.11928104,1
51.28145363,37.4842694,36.49665953,33.22658152,52.99318649,38.39820353,78.82135277,65.47395456,24.70055997,64.35941006,55.15435976,64.37896406,70.23096033,27.04924965,40.43297073,27.4057416,7.394210164,41.55071385,79.19731882,62.75316282,1
11.98054218,72.967643,8.179418911,16.9657952,67.54706531,19.14359848,88.34102543,78.92214609,49.2425593,72.14056727,48.89534257,65.31393817,54.6801508,76.59874819,66.38188147,57.04292337,42.20358526,42.58089939,59.13992694,88.14609488,1
70.42861261,31.17919351,49.43200381,50.57501765,32.49583327,63.38302633,84.39278429,35.86512436,53.86751349,38.36694063,53.73154969,70.60208785,67.84773385,20.51726741,23.84522847,19.22871262,25.23748232,63.67451647,65.65564734,46.26109989,1
61.41122438,71.02990734,65.64139151,70.67536479,37.85602052,75.7791765,71.32655618,21.32917601,59.68214144,61.72085067,65.07863811,92.92007446,84.28249479,13.37649167,41.76362025,41.15409677,34.51905967,80.14721008,72.88978211,103.1374877,0
28.39635395,48.12188045,44.72528202,35.25229185,69.83879876,40.28321907,40.5836437,98.705925,86.2933666,66.18321896,12.53234073,15.35622449,15.74295622,94.33337712,60.0578496,58.51995527,67.82109976,83.9779854,25.67269827,55.18784967,0
