state,agriculture,mining,utlities,construction,manufacturing,wholesaling,retailing,transport,information,finance,realestate,services,management,administration,education,healthcare,arts,food,other,government
AL,0.013928265,0.018127919,0.027244815,0.044513981,0.172191702,0.058001106,0.077423036,0.030497488,0.025986095,0.053360312,0.089069135,0.0625772,0.008705165,0.023950969,0.004699613,0.072182291,0.003858506,0.024639147,0.025809639,0.163233616
AK,0.006177993,0.317290032,0.010247955,0.038174153,0.019890633,0.019410586,0.041680581,0.094924027,0.021831691,0.026966105,0.073050593,0.03644181,0.002817666,0.016905994,0.002588078,0.050884956,0.006261479,0.02377275,0.014651862,0.175989314
AZ,0.008252708,0.020913021,0.01851837,0.053313137,0.078456977,0.055820289,0.078244029,0.027434027,0.02676706,0.071112308,0.160843432,0.063172993,0.013150493,0.044055961,0.008284851,0.077798046,0.010108965,0.034043425,0.019599177,0.130110733
AR,0.03387538,0.017085151,0.022698844,0.040546725,0.173729546,0.065218497,0.073313604,0.04871302,0.039183981,0.037404277,0.085293549,0.040068747,0.026044686,0.021732719,0.004627228,0.078378131,0.005003509,0.024478547,0.023522592,0.139071097
CA,0.014760469,0.008703906,0.017946595,0.036696761,0.098082206,0.05692736,0.064233681,0.023147063,0.061054053,0.058257259,0.167177923,0.094558732,0.015722697,0.030577927,0.008377388,0.06259405,0.01274721,0.028210533,0.022848702,0.117375486
CO,0.009971722,0.048241574,0.013081097,0.048667957,0.063953371,0.055349292,0.0593235,0.025691564,0.085023109,0.059098241,0.126832741,0.097738161,0.016600765,0.03277917,0.006544571,0.05977804,0.012815614,0.031745393,0.023640101,0.123119995
CT,0.00171621,0.000481094,0.019687844,0.026797857,0.13352207,0.052240325,0.054937226,0.016958561,0.037992543,0.155670895,0.126615597,0.078145383,0.029781565,0.02752875,0.016098143,0.078751376,0.009580246,0.019086477,0.019821995,0.094590469
DE,0.007197386,0.000161739,0.018907291,0.032525717,0.073850036,0.032962412,0.041987449,0.013084687,0.020217377,0.322766384,0.120705829,0.064922042,0.039318755,0.018502944,0.005482953,0.058468655,0.006793039,0.016934075,0.017904509,0.087306722
DC,1.02844E-05,0,0.00912223,0.011919576,0.001984882,0.009039955,0.012341235,0.004617679,0.057715843,0.041260863,0.099346943,0.215776212,0.009338201,0.027963182,0.027161002,0.044099347,0.00685967,0.030184604,0.064760631,0.326518229
FL,0.008272859,0.0018962,0.019636618,0.056347095,0.04800301,0.062648498,0.075026877,0.027910821,0.040983981,0.063741063,0.180013976,0.068193302,0.014525883,0.042330538,0.00789792,0.077471376,0.017722948,0.039150943,0.026475568,0.121753212
GA,0.009518398,0.003052122,0.023836221,0.043906314,0.108820483,0.077874375,0.065281228,0.038591498,0.06350627,0.060137371,0.113904001,0.073298706,0.016665996,0.035335733,0.009244361,0.06196261,0.00666489,0.028238418,0.020789127,0.139371876
HI,0.005199931,0.001159021,0.017040738,0.056322145,0.017087725,0.032797156,0.070402681,0.035444109,0.021786458,0.038435635,0.17931931,0.047645152,0.010948048,0.032076683,0.010697449,0.066330446,0.011308284,0.084029007,0.024934609,0.23701975
ID,0.055074222,0.010654634,0.020266555,0.051566914,0.098602764,0.053481715,0.084402904,0.030333479,0.023299903,0.046486056,0.12307809,0.075663071,0.01467382,0.031850153,0.006180446,0.074563482,0.008739834,0.027641382,0.020399264,0.143022352
IL,0.009916411,0.002965139,0.023392883,0.040691371,0.12428495,0.0694133,0.055485508,0.035638483,0.036517452,0.091568999,0.125006115,0.090918846,0.027008176,0.03328089,0.01116622,0.067697969,0.009444577,0.024435969,0.024497512,0.096672384
IN,0.014572649,0.004355315,0.026280992,0.040363178,0.25025406,0.056650488,0.062312398,0.03859751,0.022133634,0.058114031,0.091775517,0.043663016,0.012748125,0.026979412,0.008416352,0.078956765,0.014325456,0.023491236,0.024315215,0.101694649
IA,0.064361616,0.002151774,0.020972425,0.035143181,0.207587213,0.056697764,0.058481084,0.037412861,0.028474157,0.104810541,0.076321646,0.033566197,0.008503928,0.020176563,0.008599726,0.067699813,0.010235663,0.021377725,0.021105068,0.116313687
KS,0.029202076,0.027507313,0.022545241,0.035557439,0.151542805,0.062201074,0.066014291,0.036241862,0.058827843,0.055821268,0.081780479,0.055674605,0.016312097,0.029935387,0.005255396,0.071709674,0.00422876,0.023848905,0.023865201,0.141920134
KY,0.015265029,0.025595132,0.017042113,0.03853333,0.184311795,0.061820809,0.066455292,0.049259761,0.026483674,0.047163057,0.082365952,0.044254519,0.016517937,0.023977857,0.005951316,0.082966836,0.005810683,0.02716766,0.022002608,0.15704825
LA,0.008505162,0.164329622,0.026573005,0.043560828,0.182455967,0.043592328,0.061003159,0.035537175,0.02001188,0.029943569,0.070417338,0.043997336,0.01314025,0.02370645,0.006052615,0.05737609,0.013455256,0.026429002,0.019251366,0.110661603
ME,0.014806172,0.000462693,0.023114527,0.044700155,0.110523245,0.050172001,0.088575509,0.023557102,0.025689513,0.062020962,0.136434046,0.051680782,0.015691324,0.025065883,0.010320063,0.111649802,0.009535497,0.032026394,0.022551248,0.141443199
MD,0.003464638,0.001123172,0.032045161,0.053879334,0.055587873,0.049258597,0.058975682,0.020524415,0.036881752,0.056052507,0.141216026,0.111578185,0.010701233,0.031130526,0.012973187,0.078109851,0.007393911,0.026257349,0.025770763,0.187072179
MA,0.002443916,0.000578101,0.015115565,0.03634914,0.095364779,0.05662104,0.048522143,0.016433417,0.04812487,0.097227854,0.141919734,0.122009491,0.02235416,0.02920644,0.025718654,0.094860653,0.009189343,0.02622826,0.020954114,0.090781067
MI,0.007484106,0.003855766,0.02554216,0.034035301,0.161437639,0.060824376,0.067333431,0.026315927,0.027555,0.060309402,0.114990694,0.084847756,0.02195303,0.03454766,0.007259296,0.085982266,0.010390962,0.024650759,0.024261261,0.116425823
MN,0.021655183,0.006254589,0.01516852,0.037249807,0.128306581,0.070132054,0.057204381,0.029926155,0.034575247,0.087343588,0.116280574,0.065787321,0.050972619,0.023960707,0.008731315,0.086898462,0.008590549,0.022613916,0.022579676,0.105768755
MS,0.024318494,0.036194461,0.028524111,0.048353708,0.149582707,0.048582511,0.081758951,0.037251313,0.022836722,0.041086488,0.082379987,0.037196836,0.011712536,0.021812556,0.005611122,0.073097121,0.009631518,0.040705149,0.024187749,0.175165065
MO,0.013477882,0.003801562,0.019012014,0.042246117,0.134766208,0.064470956,0.067889839,0.037300723,0.046749959,0.056350585,0.095526857,0.067772091,0.035828879,0.031043285,0.013095203,0.078852971,0.013822714,0.027843076,0.025820343,0.124337145
MT,0.041681759,0.070853417,0.038254716,0.055919311,0.040455825,0.051544956,0.070574796,0.046306874,0.026134686,0.046836254,0.108300131,0.052269371,0.003733527,0.022986264,0.004095734,0.090663398,0.013847483,0.034716224,0.024657992,0.156139422
NE,0.067572923,0.00211353,0.026791397,0.037371057,0.118441752,0.05683715,0.06015155,0.078921139,0.033131988,0.074117661,0.080710434,0.050748742,0.020222641,0.023717171,0.008057834,0.073625305,0.005632078,0.020306702,0.021507571,0.140021375
NV,0.001996449,0.023530667,0.015781092,0.081267669,0.043738999,0.038938377,0.075537403,0.032453727,0.018013762,0.076337507,0.141641203,0.051823855,0.02653296,0.02859037,0.002979434,0.050505589,0.029420954,0.141267821,0.017808021,0.101834142
NH,0.003966336,0.001083243,0.035930339,0.038330139,0.108624281,0.062244813,0.078310141,0.016265311,0.036396967,0.082393134,0.148454295,0.074577119,0.013048913,0.029597534,0.018781768,0.09175902,0.009082576,0.030014165,0.024297975,0.096858595
NJ,0.001469672,0.000547442,0.019497364,0.036470177,0.092340863,0.079297,0.062319976,0.030469369,0.04645468,0.076740866,0.156602153,0.096372985,0.024881247,0.031909563,0.009037007,0.074692169,0.010315074,0.026030876,0.020653309,0.103896104
NM,0.015882154,0.155680154,0.023766912,0.04346629,0.065919075,0.033716724,0.065105568,0.027246217,0.02643271,0.029436428,0.096156494,0.081125393,0.004643246,0.027984631,0.005569392,0.06798413,0.006182651,0.029436428,0.020825772,0.173452147
NY,0.002374002,0.000969872,0.018273785,0.02978468,0.060408168,0.046483078,0.050105681,0.017029553,0.070021259,0.163597299,0.153799845,0.090103724,0.026355178,0.02555831,0.015204272,0.072154977,0.011065278,0.0235242,0.020530703,0.102655265
NC,0.009845274,0.001381837,0.018491124,0.041550056,0.194796498,0.054303934,0.06241754,0.023258836,0.030227991,0.099712138,0.091675996,0.054216476,0.023523709,0.027306893,0.008618363,0.066425616,0.007661323,0.024398289,0.020252779,0.139935331
ND,0.109106639,0.04034222,0.026980261,0.045437067,0.090810049,0.069277108,0.067194309,0.046013843,0.032107152,0.053479877,0.080780569,0.034125865,0.009869264,0.015797231,0.00365291,0.084305306,0.004710331,0.024256601,0.02111638,0.140701102
OH,0.007049721,0.005448476,0.023320919,0.034489341,0.178274812,0.063875905,0.064223725,0.034958049,0.02637495,0.073627595,0.099141478,0.061472976,0.034396023,0.03054243,0.008317992,0.085283813,0.007690219,0.023429083,0.02334849,0.114734002
OK,0.013021687,0.143006391,0.028870316,0.036661477,0.107519393,0.048331148,0.06725254,0.031922594,0.030713974,0.042288048,0.077419972,0.044609691,0.014284934,0.032434721,0.004889107,0.067887578,0.006384519,0.023551022,0.021761991,0.157195728
OR,0.024657585,0.001274965,0.014785886,0.03923304,0.186918606,0.065072753,0.053789928,0.029033316,0.033545209,0.048869551,0.130931529,0.053387633,0.019879559,0.026458629,0.007266065,0.080248556,0.006591448,0.026242008,0.023419755,0.128393977
PA,0.006229882,0.007590805,0.028752885,0.039631231,0.136448335,0.059717947,0.060254726,0.03224827,0.036443093,0.072770517,0.118037018,0.078797978,0.027100981,0.026399735,0.019394507,0.096878553,0.008170959,0.022304315,0.025190629,0.097641248
RI,0.001604594,0.000971202,0.022105397,0.042120598,0.09817583,0.050143569,0.058652141,0.014969175,0.038066886,0.112216029,0.147495989,0.056308589,0.023604425,0.024807871,0.023836669,0.095578921,0.009606452,0.029262731,0.021767587,0.128684233
SC,0.007283354,0.001688152,0.030105382,0.049359269,0.160969153,0.057550645,0.078505474,0.024887457,0.027579548,0.046647995,0.105240945,0.052249591,0.008613413,0.038737978,0.005806221,0.062327348,0.007756548,0.036301668,0.0253031,0.173086761
SD,0.093941936,0.005086718,0.020049244,0.035796423,0.095673584,0.054249303,0.068129549,0.030493249,0.026813496,0.175248248,0.064936822,0.028328689,0.010471063,0.015043697,0.006791309,0.087854109,0.008739414,0.02740875,0.021862063,0.123082334
TN,0.004581025,0.002760514,0.004747607,0.038060184,0.16100616,0.067339079,0.08172072,0.050736335,0.033467261,0.05711804,0.096487088,0.058696609,0.01471084,0.042212853,0.011030155,0.090985892,0.010308297,0.033510889,0.027260071,0.113260381
TX,0.007992572,0.113145693,0.034113302,0.048101733,0.129792867,0.062425266,0.058837232,0.033685026,0.037869704,0.054570004,0.08553172,0.068116265,0.015662303,0.031287009,0.005286426,0.056769412,0.005991773,0.024064353,0.020525357,0.106231983
UT,0.005319876,0.037585287,0.012552721,0.048671397,0.11858586,0.05009246,0.072474198,0.034670286,0.034925349,0.086302231,0.111990672,0.071590588,0.017890815,0.027391894,0.010202501,0.056268617,0.008499048,0.026562941,0.030161145,0.138262113
VT,0.016115085,0.005659932,0.027788696,0.041584781,0.114024055,0.04775568,0.081361528,0.021853628,0.037104001,0.058368053,0.123457275,0.062141341,0.000982627,0.02063517,0.021892933,0.101800173,0.008647119,0.045122239,0.024369153,0.139218615
VA,0.004196209,0.00546817,0.01974183,0.041266923,0.08588376,0.041637177,0.057223097,0.02399597,0.047402557,0.058233109,0.126704867,0.132500472,0.023497261,0.02711668,0.00813047,0.056789875,0.005770417,0.02459291,0.02624268,0.183603048
WA,0.021801362,0.001171084,0.010555242,0.045576216,0.099123856,0.060344881,0.070206148,0.02826091,0.078998569,0.05290943,0.140316255,0.068121123,0.013470559,0.029246107,0.005644747,0.069574135,0.008718066,0.026513579,0.024025801,0.145425029
WV,0.003925258,0.0921949,0.046794913,0.040452864,0.107328229,0.047005774,0.074385259,0.035603062,0.02407059,0.039852722,0.08337118,0.039755401,0.010559268,0.020859015,0.00439564,0.0921949,0.008515539,0.028320249,0.022351262,0.178047752
WI,0.018766455,0.00168033,0.017992838,0.039009437,0.203195122,0.056765199,0.060595852,0.032471125,0.030470534,0.073626726,0.114358085,0.04684959,0.022289324,0.022713566,0.008551381,0.086724147,0.007769445,0.022888254,0.022979757,0.110298674
WY,0.010337015,0.332002266,0.040640045,0.061002549,0.030614557,0.03463608,0.053412631,0.060209572,0.013678845,0.02546021,0.071396205,0.029425092,0.002803738,0.011922968,0.001869159,0.040045313,0.005720759,0.031294251,0.0163693,0.127187766
