state,agriculture,mining,utlities,construction,manufacturing,wholesaling,retailing,transport,information,finance,realestate,services,management,administration,education,healthcare,arts,food,other,government
AL,2.368,3.082,4.632,7.568,29.275,9.861,13.163,5.185,4.418,9.072,15.143,10.639,1.48,4.072,0.799,12.272,0.656,4.189,4.388,27.752
AK,0.296,15.202,0.491,1.829,0.953,0.93,1.997,4.548,1.046,1.292,3.5,1.746,0.135,0.81,0.124,2.438,0.3,1.139,0.702,8.432
AZ,2.054,5.205,4.609,13.269,19.527,13.893,19.474,6.828,6.662,17.699,40.032,15.723,3.273,10.965,2.062,19.363,2.516,8.473,4.878,32.383
AR,3.331,1.68,2.232,3.987,17.083,6.413,7.209,4.79,3.853,3.678,8.387,3.94,2.561,2.137,0.455,7.707,0.492,2.407,2.313,13.675
CA,27.259,16.074,33.143,67.77,181.134,105.131,118.624,42.747,112.752,107.587,308.737,174.627,29.036,56.47,15.471,115.596,23.541,52.098,42.196,216.764
CO,2.479,11.993,3.252,12.099,15.899,13.76,14.748,6.387,21.137,14.692,31.531,24.298,4.127,8.149,1.627,14.861,3.186,7.892,5.877,30.608
CT,0.371,0.104,4.256,5.793,28.864,11.293,11.876,3.666,8.213,33.652,27.371,16.893,6.438,5.951,3.48,17.024,2.071,4.126,4.285,20.448
DE,0.445,0.01,1.169,2.011,4.566,2.038,2.596,0.809,1.25,19.956,7.463,4.014,2.431,1.144,0.339,3.615,0.42,1.047,1.107,5.398
DC,0.001,0.0,0.887,1.159,0.193,0.879,1.2,0.449,5.612,4.012,9.66,20.981,0.908,2.719,2.641,4.288,0.667,2.935,6.297,31.749
FL,6.156,1.411,14.612,41.929,35.72,46.618,55.829,20.769,30.497,47.431,133.952,50.744,10.809,31.499,5.877,57.648,13.188,29.133,19.701,90.599
GA,3.786,1.214,9.481,17.464,43.284,30.975,25.966,15.35,25.26,23.92,45.306,29.155,6.629,14.055,3.677,24.646,2.651,11.232,8.269,55.436
HI,0.332,0.074,1.088,3.596,1.091,2.094,4.495,2.263,1.391,2.454,11.449,3.042,0.699,2.048,0.683,4.235,0.722,5.365,1.592,15.133
ID,2.905,0.562,1.069,2.72,5.201,2.821,4.452,1.6,1.229,2.452,6.492,3.991,0.774,1.68,0.326,3.933,0.461,1.458,1.076,7.544
IL,6.284,1.879,14.824,25.786,78.759,43.987,35.161,22.584,23.141,58.027,79.216,57.615,17.115,21.09,7.076,42.9,5.985,15.485,15.524,61.261
IN,3.714,1.11,6.698,10.287,63.78,14.438,15.881,9.837,5.641,14.811,23.39,11.128,3.249,6.876,2.145,20.123,3.651,5.987,6.197,25.918
IA,8.734,0.292,2.846,4.769,28.17,7.694,7.936,5.077,3.864,14.223,10.357,4.555,1.154,2.738,1.167,9.187,1.389,2.901,2.864,15.784
KS,3.584,3.376,2.767,4.364,18.599,7.634,8.102,4.448,7.22,6.851,10.037,6.833,2.002,3.674,0.645,8.801,0.519,2.927,2.929,17.418
KY,2.388,4.004,2.666,6.028,28.833,9.671,10.396,7.706,4.143,7.378,12.885,6.923,2.584,3.751,0.931,12.979,0.909,4.25,3.442,24.568
LA,1.89,36.517,5.905,9.68,40.545,9.687,13.556,7.897,4.447,6.654,15.648,9.777,2.92,5.268,1.345,12.75,2.99,5.873,4.278,24.591
ME,0.736,0.023,1.149,2.222,5.494,2.494,4.403,1.171,1.277,3.083,6.782,2.569,0.78,1.246,0.513,5.55,0.474,1.592,1.121,7.031
MD,0.947,0.307,8.759,14.727,15.194,13.464,16.12,5.61,10.081,15.321,38.599,30.498,2.925,8.509,3.546,21.35,2.021,7.177,7.044,51.133
MA,0.892,0.211,5.517,13.267,34.807,20.666,17.71,5.998,17.565,35.487,51.799,44.532,8.159,10.66,9.387,34.623,3.354,9.573,7.648,33.134
MI,2.863,1.475,9.771,13.02,61.757,23.268,25.758,10.067,10.541,23.071,43.989,32.458,8.398,13.216,2.777,32.892,3.975,9.43,9.281,44.538
MN,5.692,1.644,3.987,9.791,33.725,18.434,15.036,7.866,9.088,22.958,30.564,17.292,13.398,6.298,2.295,22.841,2.258,5.944,5.935,27.801
MS,2.232,3.322,2.618,4.438,13.729,4.459,7.504,3.419,2.096,3.771,7.561,3.414,1.075,2.002,0.515,6.709,0.884,3.736,2.22,16.077
MO,3.205,0.904,4.521,10.046,32.047,15.331,16.144,8.87,11.117,13.4,22.716,16.116,8.52,7.382,3.114,18.751,3.287,6.621,6.14,29.567
MT,1.496,2.543,1.373,2.007,1.452,1.85,2.533,1.662,0.938,1.681,3.887,1.876,0.134,0.825,0.147,3.254,0.497,1.246,0.885,5.604
NE,5.627,0.176,2.231,3.112,9.863,4.733,5.009,6.572,2.759,6.172,6.721,4.226,1.684,1.975,0.671,6.131,0.469,1.691,1.791,11.66
NV,0.262,3.088,2.071,10.665,5.74,5.11,9.913,4.259,2.364,10.018,18.588,6.801,3.482,3.752,0.391,6.628,3.861,18.539,2.337,13.364
NH,0.238,0.065,2.156,2.3,6.518,3.735,4.699,0.976,2.184,4.944,8.908,4.475,0.783,1.776,1.127,5.506,0.545,1.801,1.458,5.812
NJ,0.698,0.26,9.26,17.321,43.856,37.661,29.598,14.471,22.063,36.447,74.376,45.771,11.817,15.155,4.292,35.474,4.899,12.363,9.809,49.344
NM,1.269,12.439,1.899,3.473,5.267,2.694,5.202,2.177,2.112,2.352,7.683,6.482,0.371,2.236,0.445,5.432,0.494,2.352,1.664,13.859
