Coverage,Return,Cost,Load,Peak,Sales,Nuclear,Fuel,Company
1.06,9.2,151.0,54.4,1.6,9077,0.0,0.63,Arizona Public
0.89,10.3,202.0,57.9,2.2,5088,25.3,1.56,Boston Edison
1.43,15.4,113.0,53.0,3.4,9212,0.0,1.06,Central Louisiana
1.02,11.2,168.0,56.0,0.3,6423,34.3,0.7,Commonwealth Edison
1.49,8.8,192.0,51.2,1.0,3300,15.6,2.04,Consolidated Edison
1.32,13.5,111.0,60.0,-2.2,11127,22.5,1.24,Florida Power & Light
1.22,12.2,175.0,67.6,2.2,7642,0.0,1.65,Hawaiian Electric
1.1,9.2,245.0,57.0,3.3,13082,0.0,0.31,Idaho Power
1.34,13.0,168.0,60.4,7.2,8406,0.0,0.86,Kentucky Utilities
1.12,12.4,197.0,53.0,2.7,6455,39.2,0.62,Madison Gas
0.75,7.5,173.0,51.5,6.5,17441,0.0,0.77,Nevada Power
1.13,10.9,178.0,62.0,3.7,6154,0.0,1.9,New England Electric
1.15,12.7,199.0,53.7,6.4,7179,50.2,0.53,Northern States Power
1.09,12.0,96.0,49.8,1.4,9673,0.0,0.59,Oklahoma Gas
0.96,7.6,164.0,62.2,-0.1,6468,0.9,1.4,Pacific Gas
1.16,9.9,252.0,56.0,9.2,15991,0.0,0.62,Puget Sound Power
0.76,6.4,136.0,61.9,9.0,5714,8.3,1.92,San Diego Gas
1.05,12.6,150.0,56.7,2.7,10140,0.0,1.11,The Southern Co.
1.16,11.7,104.0,54.0,-2.1,13507,0.0,0.64,Texas Utilities
1.2,11.8,148.0,59.9,3.5,7287,41.1,0.7,Wisconsin Electric
1.04,8.6,204.0,61.0,3.5,6650,0.0,2.12,United Illuminating
1.07,9.3,174.0,54.3,5.9,10093,26.6,1.31,Virginia Electric
